,totalbuts,%total,totalbuts / mj,butstirs,%tirs,tirsbuts / mj,butspenalty,%penalty,penaltybuts / mj,mj,Score LNH *,Temps jeu
DELECROIX Florian,60 / 110,"54,55 %","2,07",59 / 108,"54,63 %","2,03",1 / 2,"50,00 %","0,03",29,115.7,12:07:12
YOSHIDA Shuichi,59 / 74,"79,73 %","2,19",59 / 74,"79,73 %","2,19",0 / 0,"0,00 %","0,00",27,121.5,13:51:36
MARCHAN CRIADO Ruben,59 / 75,"78,67 %","2,03",59 / 75,"78,67 %","2,03",0 / 0,"0,00 %","0,00",29,115.3,08:14:57
JAFFIOL Mathis,59 / 102,"57,84 %","1,97",59 / 102,"57,84 %","1,97",0 / 0,"0,00 %","0,00",30,146.9,14:01:36
ALMEIDA Ronaldo,59 / 111,"53,15 %","2,11",59 / 111,"53,15 %","2,11",0 / 0,"0,00 %","0,00",28,115.8,09:11:39
NIETO Nicolas,58 / 75,"77,33 %","2,15",58 / 75,"77,33 %","2,15",0 / 0,"0,00 %","0,00",27,127.1,10:32:11
VILLEMINOT Kyllian,58 / 99,"58,59 %","4,14",55 / 93,"59,14 %","3,93",3 / 6,"50,00 %","0,21",14,124.4,06:03:21
NACINOVIC Veron,57 / 67,"85,07 %","2,11",57 / 67,"85,07 %","2,11",0 / 0,"0,00 %","0,00",27,124.3,11:59:23
AFGOUR Benjamin,57 / 71,"80,28 %","2,11",57 / 71,"80,28 %","2,11",0 / 0,"0,00 %","0,00",27,103.5,15:00:21
DEEN Samuel,57 / 83,"68,67 %","1,90",57 / 83,"68,67 %","1,90",0 / 0,"0,00 %","0,00",30,114.5,22:18:59
BZDYNGA Valentin,57 / 85,"67,06 %","1,90",40 / 63,"63,49 %","1,33",17 / 22,"77,27 %","0,57",30,110.2,13:26:43
SKUBE Stas,56 / 77,"72,73 %","3,29",47 / 65,"72,31 %","2,76",9 / 12,"75,00 %","0,53",17,198.3,08:48:05
PETIT Lucas,56 / 80,"70,00 %","1,93",41 / 61,"67,21 %","1,41",15 / 19,"78,95 %","0,52",29,109.5,09:12:03
GARCIA Arnau,56 / 82,"68,29 %","1,87",56 / 82,"68,29 %","1,87",0 / 0,"0,00 %","0,00",30,144.2,14:39:16
ONG Matthieu,56 / 86,"65,12 %","2,00",51 / 81,"62,96 %","1,82",5 / 5,"100,00 %","0,18",28,105.9,13:01:18
DOLENEC Jure,55 / 83,"66,27 %","2,04",55 / 83,"66,27 %","2,04",0 / 0,"0,00 %","0,00",27,179.7,10:40:32
LOREDON Gautier,55 / 85,"64,71 %","1,90",55 / 85,"64,71 %","1,90",0 / 0,"0,00 %","0,00",29,93.5,16:24:44
KARABATIC Nikola,54 / 87,"62,07 %","2,00",54 / 86,"62,79 %","2,00",0 / 1,"0,00 %","0,00",27,144.9,10:04:26
ODRIOZOLA YEREGUI Kauldi,53 / 72,"73,61 %","2,79",53 / 72,"73,61 %","2,79",0 / 0,"0,00 %","0,00",19,112.6,11:58:38
BRIFFE Mathéo,53 / 97,"54,64 %","2,21",53 / 97,"54,64 %","2,21",0 / 0,"0,00 %","0,00",24,150.8,11:58:18
CAUSSE Théophile,51 / 63,"80,95 %","1,70",51 / 63,"80,95 %","1,70",0 / 0,"0,00 %","0,00",30,115.5,16:24:19
MAPU Jonathan,51 / 75,"68,00 %","1,76",51 / 75,"68,00 %","1,76",0 / 0,"0,00 %","0,00",29,109.2,11:59:22
PECAUD Arthur,51 / 80,"63,75 %","1,70",51 / 80,"63,75 %","1,70",0 / 0,"0,00 %","0,00",30,94.7,17:43:04
JONSSON Per Maximilliam,51 / 83,"61,45 %","2,04",50 / 81,"61,73 %","2,00",1 / 2,"50,00 %","0,04",25,92.0,06:01:00
JORGENSEN Jesper,51 / 92,"55,43 %","1,70",51 / 92,"55,43 %","1,70",0 / 0,"0,00 %","0,00",30,164.4,17:46:11
PETTERSSON Fredric,49 / 60,"81,67 %","1,69",48 / 59,"81,36 %","1,66",1 / 1,"100,00 %","0,03",29,92.4,13:48:50
DIMITROV Svetlin,49 / 64,"76,56 %","2,04",48 / 63,"76,19 %","2,00",1 / 1,"100,00 %","0,04",24,98.7,13:46:34
DENTZ Edgar,49 / 72,"68,06 %","3,27",48 / 71,"67,61 %","3,20",1 / 1,"100,00 %","0,07",15,83.4,06:50:15
KUDINOV Sergey,49 / 82,"59,76 %","1,96",49 / 82,"59,76 %","1,96",0 / 0,"0,00 %","0,00",25,168.6,14:31:39
CAVALCANTI Alexandre,49 / 85,"57,65 %","1,63",49 / 85,"57,65 %","1,63",0 / 0,"0,00 %","0,00",30,106.8,13:30:42
GUILLO Romaric,48 / 64,"75,00 %","1,66",48 / 64,"75,00 %","1,66",0 / 0,"0,00 %","0,00",29,105.0,17:29:06
KRISTJANSSON Kristjan,48 / 81,"59,26 %","4,80",48 / 81,"59,26 %","4,80",0 / 0,"0,00 %","0,00",10,94.5,04:15:01
KONRADSSON Jesper,48 / 91,"52,75 %","1,78",48 / 90,"53,33 %","1,78",0 / 1,"0,00 %","0,00",27,165.5,11:59:48
FERNANDEZ Jaime,47 / 68,"69,12 %","1,68",39 / 55,"70,91 %","1,39",8 / 13,"61,54 %","0,29",28,105.9,12:14:53
NYEMBO Gabriel,47 / 70,"67,14 %","1,57",47 / 70,"67,14 %","1,57",0 / 0,"0,00 %","0,00",30,98.4,17:05:09
POYET Tom,47 / 76,"61,84 %","1,57",47 / 76,"61,84 %","1,57",0 / 0,"0,00 %","0,00",30,104.7,16:20:17
LIGNIèRES Jules,47 / 84,"55,95 %","1,57",47 / 84,"55,95 %","1,57",0 / 0,"0,00 %","0,00",30,205.7,12:08:04
POLETTI Marc,46 / 52,"88,46 %","2,71",16 / 19,"84,21 %","0,94",30 / 33,"90,91 %","1,76",17,93.3,03:11:22
OGANDO Maxime,46 / 63,"73,02 %","1,53",46 / 63,"73,02 %","1,53",0 / 0,"0,00 %","0,00",30,91.6,11:20:44
REBICHON Julien,46 / 67,"68,66 %","1,53",45 / 66,"68,18 %","1,50",1 / 1,"100,00 %","0,03",30,122.5,14:57:24
MUEL Jason,45 / 55,"81,82 %","1,73",45 / 55,"81,82 %","1,73",0 / 0,"0,00 %","0,00",26,93.1,07:11:35
ANQUETIL Arthur,45 / 70,"64,29 %","1,80",41 / 63,"65,08 %","1,64",4 / 7,"57,14 %","0,16",25,91.5,10:32:58
GARAIN Dylan,45 / 70,"64,29 %","2,14",45 / 70,"64,29 %","2,14",0 / 0,"0,00 %","0,00",21,110.1,07:08:48
GREBILLE Mathieu,44 / 68,"64,71 %","1,57",44 / 68,"64,71 %","1,57",0 / 0,"0,00 %","0,00",28,101.1,19:50:55
NYATEU O'brian,43 / 64,"67,19 %","2,05",43 / 64,"67,19 %","2,05",0 / 0,"0,00 %","0,00",21,121.9,08:35:03
GONI Iosu,43 / 98,"43,88 %","1,54",43 / 98,"43,88 %","1,54",0 / 0,"0,00 %","0,00",28,132.4,15:39:10
DIPANDA Adrien,41 / 67,"61,19 %","1,41",41 / 67,"61,19 %","1,41",0 / 0,"0,00 %","0,00",29,155.1,15:28:05
MATHE Dominik,40 / 57,"70,18 %","2,67",38 / 55,"69,09 %","2,53",2 / 2,"100,00 %","0,13",15,110.6,03:52:31
TOSSIN Dylan,40 / 61,"65,57 %","1,33",40 / 61,"65,57 %","1,33",0 / 0,"0,00 %","0,00",30,82.5,09:42:57
BORGES DA SILVA Diogo,40 / 77,"51,95 %","1,38",40 / 77,"51,95 %","1,38",0 / 0,"0,00 %","0,00",29,132.4,10:31:45
DAMATRIN Baptiste,39 / 50,"78,00 %","1,56",39 / 50,"78,00 %","1,56",0 / 0,"0,00 %","0,00",25,79.8,07:12:49
BOZOVIC Milos,39 / 70,"55,71 %","1,50",27 / 55,"49,09 %","1,04",12 / 15,"80,00 %","0,46",26,81.9,05:04:17
MOSINDI Daniel,38 / 55,"69,09 %","2,00",38 / 55,"69,09 %","2,00",0 / 0,"0,00 %","0,00",19,90.0,06:11:33
DESBLANCS Eliott,38 / 58,"65,52 %","1,27",38 / 58,"65,52 %","1,27",0 / 0,"0,00 %","0,00",30,108.5,06:05:34
BRIFFE Romain,37 / 62,"59,68 %","1,48",37 / 62,"59,68 %","1,48",0 / 0,"0,00 %","0,00",25,162.1,13:42:06
AYEVA Belco,37 / 86,"43,02 %","1,76",37 / 86,"43,02 %","1,76",0 / 0,"0,00 %","0,00",21,75.3,06:19:15
VIGNERON Arthur,36 / 50,"72,00 %","2,77",36 / 50,"72,00 %","2,77",0 / 0,"0,00 %","0,00",13,80.8,09:35:51
LONGERINAS Auguste,36 / 52,"69,23 %","1,29",36 / 52,"69,23 %","1,29",0 / 0,"0,00 %","0,00",28,76.9,12:03:15
HOCHET Sylvain,36 / 52,"69,23 %","1,29",36 / 52,"69,23 %","1,29",0 / 0,"0,00 %","0,00",28,74.8,14:23:29
DE LA BRETECHE Lucas,36 / 55,"65,45 %","1,24",36 / 55,"65,45 %","1,24",0 / 0,"0,00 %","0,00",29,147.7,07:02:58
IMARE Edson,36 / 55,"65,45 %","1,89",27 / 45,"60,00 %","1,42",10 / 11,"90,91 %","0,53",19,76.0,04:08:56
LAGUILLAUMIE Théo,35 / 81,"43,21 %","1,25",35 / 81,"43,21 %","1,25",0 / 0,"0,00 %","0,00",28,77.8,15:22:05
PARISINI Andrea,34 / 47,"72,34 %","1,26",34 / 47,"72,34 %","1,26",0 / 0,"0,00 %","0,00",27,70.3,09:14:35
CAÏS Martial,34 / 47,"72,34 %","2,13",34 / 47,"72,34 %","2,13",0 / 0,"0,00 %","0,00",16,69.7,08:13:59
OVNICEK Rok,34 / 48,"70,83 %","2,62",34 / 48,"70,83 %","2,62",0 / 0,"0,00 %","0,00",13,95.7,03:58:48
TOTO Jérémy,34 / 50,"68,00 %","1,13",34 / 50,"68,00 %","1,13",0 / 0,"0,00 %","0,00",30,65.0,14:14:29
MAMDOUH Mohamed,34 / 51,"66,67 %","2,43",34 / 51,"66,67 %","2,43",0 / 0,"0,00 %","0,00",14,75.2,09:09:32
CLARAC Théo,34 / 53,"64,15 %","1,13",34 / 53,"64,15 %","1,13",0 / 0,"0,00 %","0,00",30,85.7,17:05:23
HENIGMAN Nik,34 / 54,"62,96 %","2,27",34 / 54,"62,96 %","2,27",0 / 0,"0,00 %","0,00",15,53.4,07:53:51
ANZUINI Aymeric,34 / 60,"56,67 %","1,17",34 / 60,"56,67 %","1,17",0 / 0,"0,00 %","0,00",29,59.7,10:38:18
KARABATIC Luka,33 / 40,"82,50 %","1,10",33 / 40,"82,50 %","1,10",0 / 0,"0,00 %","0,00",30,79.0,14:04:04
JARRY Téo,32 / 43,"74,42 %","1,19",30 / 39,"76,92 %","1,11",2 / 4,"50,00 %","0,07",27,67.0,05:59:15
SISSOKO Boïba,32 / 59,"54,24 %","2,13",29 / 55,"52,73 %","1,93",3 / 4,"75,00 %","0,20",15,81.6,04:17:54
PATUREL Pierre,31 / 43,"72,09 %","1,03",31 / 43,"72,09 %","1,03",0 / 0,"0,00 %","0,00",30,95.3,18:19:56
MARTINEZ Gabin,31 / 62,"50,00 %","1,03",31 / 62,"50,00 %","1,03",0 / 0,"0,00 %","0,00",30,64.0,06:29:13
GALLEGO Benjamin,30 / 40,"75,00 %","2,00",30 / 40,"75,00 %","2,00",0 / 0,"0,00 %","0,00",15,60.9,07:20:24
VANEGUE Lucas,30 / 42,"71,43 %","1,58",30 / 42,"71,43 %","1,58",0 / 0,"0,00 %","0,00",19,103.0,04:52:41
EKREN Hakon,30 / 60,"50,00 %","1,07",30 / 60,"50,00 %","1,07",0 / 0,"0,00 %","0,00",28,119.6,06:40:42
HESHAM Ahmed,29 / 43,"67,44 %","4,83",29 / 43,"67,44 %","4,83",0 / 0,"0,00 %","0,00",6,65.6,03:30:38
RAMOND Hadrien,29 / 46,"63,04 %","0,97",29 / 46,"63,04 %","0,97",0 / 0,"0,00 %","0,00",30,57.9,06:20:35
PANIC Marko,29 / 49,"59,18 %","1,07",28 / 48,"58,33 %","1,04",1 / 1,"100,00 %","0,04",27,62.5,06:14:50
FOUCAULT Maxence,28 / 43,"65,12 %","0,93",28 / 43,"65,12 %","0,93",0 / 0,"0,00 %","0,00",30,60.3,10:34:53
GIBERNON Damien,28 / 45,"62,22 %","1,08",28 / 45,"62,22 %","1,08",0 / 0,"0,00 %","0,00",26,62.5,06:18:19
BARAN Michal,27 / 35,"77,14 %","1,23",27 / 35,"77,14 %","1,23",0 / 0,"0,00 %","0,00",22,61.1,02:21:31
PEREZ Sergio,27 / 38,"71,05 %","1,69",27 / 38,"71,05 %","1,69",0 / 0,"0,00 %","0,00",16,90.9,06:51:19
BATAILLE Benjamin,27 / 49,"55,10 %","1,42",27 / 49,"55,10 %","1,42",0 / 0,"0,00 %","0,00",19,93.5,08:45:47
BRITO DUARTE Gilberto,27 / 51,"52,94 %","1,13",27 / 51,"52,94 %","1,13",0 / 0,"0,00 %","0,00",24,85.9,09:09:18
GUILLAUME Andrea,26 / 43,"60,47 %","0,87",26 / 43,"60,47 %","0,87",0 / 0,"0,00 %","0,00",30,64.8,10:49:54
PARIS Robin,25 / 39,"64,10 %","0,93",25 / 39,"64,10 %","0,93",0 / 0,"0,00 %","0,00",27,37.5,08:43:03
GAYDUCHENKO Vadim,25 / 53,"47,17 %","1,19",25 / 53,"47,17 %","1,19",0 / 0,"0,00 %","0,00",21,74.3,06:55:29
KAMTCHOP BARIL Hugo,24 / 27,"88,89 %","3,00",24 / 27,"88,89 %","3,00",0 / 0,"0,00 %","0,00",8,53.0,04:33:58
MEDINA Nevo,24 / 42,"57,14 %","1,50",24 / 42,"57,14 %","1,50",0 / 0,"0,00 %","0,00",16,30.7,04:55:44
ORSTED Kristian,22 / 31,"70,97 %","0,81",22 / 31,"70,97 %","0,81",0 / 0,"0,00 %","0,00",27,38.0,08:12:22
GIRAUDEAU Romain,22 / 35,"62,86 %","0,73",22 / 35,"62,86 %","0,73",0 / 0,"0,00 %","0,00",30,45.7,05:21:34
BABARSKAS Gerdas,21 / 31,"67,74 %","0,70",21 / 31,"67,74 %","0,70",0 / 0,"0,00 %","0,00",30,72.0,14:47:34
KISUM Kasper Jesper,21 / 32,"65,63 %","1,50",21 / 32,"65,63 %","1,50",0 / 0,"0,00 %","0,00",14,46.5,04:11:08
MITROVIC Uros,21 / 33,"63,64 %","0,70",21 / 33,"63,64 %","0,70",0 / 0,"0,00 %","0,00",30,43.1,03:02:17
DUPUY Quentin,20 / 28,"71,43 %","0,71",20 / 28,"71,43 %","0,71",0 / 0,"0,00 %","0,00",28,42.8,08:47:42
KOUADIO Noah,20 / 28,"71,43 %","0,87",20 / 28,"71,43 %","0,87",0 / 0,"0,00 %","0,00",23,44.7,06:32:10
GROSELJ Matic,20 / 39,"51,28 %","1,82",20 / 39,"51,28 %","1,82",0 / 0,"0,00 %","0,00",11,43.1,05:37:48
PETIT Timmy,19 / 26,"73,08 %","0,76",19 / 26,"73,08 %","0,76",0 / 0,"0,00 %","0,00",25,31.6,05:51:38
BERTHIER Alexis,19 / 28,"67,86 %","0,68",19 / 28,"67,86 %","0,68",0 / 0,"0,00 %","0,00",28,33.5,04:55:26
HORIHA Dmytro,19 / 34,"55,88 %","1,27",19 / 34,"55,88 %","1,27",0 / 0,"0,00 %","0,00",15,38.2,03:33:14
NTANZI Sadou,18 / 35,"51,43 %","0,67",18 / 35,"51,43 %","0,67",0 / 0,"0,00 %","0,00",27,36.5,03:21:25
HOGHIELM William,16 / 18,"88,89 %","0,55",16 / 18,"88,89 %","0,55",0 / 0,"0,00 %","0,00",29,32.8,02:36:48
PLANTIN Léo,16 / 19,"84,21 %","1,60",6 / 7,"85,71 %","0,60",10 / 12,"83,33 %","1,00",10,32.1,01:08:56
PETIT Maxime,16 / 22,"72,73 %","0,76",16 / 22,"72,73 %","0,76",0 / 0,"0,00 %","0,00",21,34.2,02:33:15
PRAT Kylian,16 / 25,"64,00 %","0,73",16 / 25,"64,00 %","0,73",0 / 0,"0,00 %","0,00",22,55.9,03:49:04
NIELSEN Rasmus,15 / 23,"65,22 %","1,15",11 / 16,"68,75 %","0,85",4 / 7,"57,14 %","0,31",13,27.6,04:19:14
AUFFRET Lucien,15 / 25,"60,00 %","1,67",14 / 23,"60,87 %","1,56",1 / 2,"50,00 %","0,11",9,32.7,04:16:09
KONAN Karl,15 / 28,"53,57 %","0,52",15 / 28,"53,57 %","0,52",0 / 0,"0,00 %","0,00",29,54.6,16:05:33
KALANDADZE Nikoloz,14 / 19,"73,68 %","4,67",13 / 17,"76,47 %","4,33",1 / 2,"50,00 %","0,33",3,28.4,01:09:19
DESSITES Thibault,14 / 21,"66,67 %","0,93",14 / 21,"66,67 %","0,93",0 / 0,"0,00 %","0,00",15,27.4,03:48:52
DIALLO Bakary,13 / 17,"76,47 %","0,50",13 / 17,"76,47 %","0,50",0 / 0,"0,00 %","0,00",26,39.0,09:16:11
KEITA Adama,13 / 20,"65,00 %","0,50",12 / 18,"66,67 %","0,46",1 / 2,"50,00 %","0,04",26,31.0,04:23:03
LEVENTOUX Rémi,13 / 20,"65,00 %","0,43",13 / 20,"65,00 %","0,43",0 / 0,"0,00 %","0,00",30,13.3,12:53:07
BRIET Baptiste,12 / 12,"100,00 %","0,40",12 / 12,"100,00 %","0,40",0 / 0,"0,00 %","0,00",30,33.0,04:34:47
TRAORé Keyliane,12 / 22,"54,55 %","0,44",12 / 22,"54,55 %","0,44",0 / 0,"0,00 %","0,00",27,18.3,03:50:18
EL BISHRY Adam,11 / 13,"84,62 %","0,92",11 / 13,"84,62 %","0,92",0 / 0,"0,00 %","0,00",12,21.8,01:29:50
KLIMKOW Janek,10 / 12,"83,33 %","0,37",10 / 12,"83,33 %","0,37",0 / 0,"0,00 %","0,00",27,4.5,02:15:37
STRANIGG Janos Tamas,10 / 17,"58,82 %","1,25",10 / 17,"58,82 %","1,25",0 / 0,"0,00 %","0,00",8,16.4,00:41:30
TREMEY Noa,10 / 19,"52,63 %","0,50",10 / 19,"52,63 %","0,50",0 / 0,"0,00 %","0,00",20,26.4,02:43:11
AZKUE Jon,10 / 20,"50,00 %","2,00",10 / 20,"50,00 %","2,00",0 / 0,"0,00 %","0,00",5,37.7,01:37:30
PELEKA Wallem,10 / 24,"41,67 %","0,40",10 / 24,"41,67 %","0,40",0 / 0,"0,00 %","0,00",25,28.1,06:53:27
ANTIC Aleksandar,9 / 12,"75,00 %","0,39",9 / 12,"75,00 %","0,39",0 / 0,"0,00 %","0,00",23,15.0,02:11:22
AILLAUD Marc-anto,9 / 14,"64,29 %","0,56",9 / 14,"64,29 %","0,56",0 / 0,"0,00 %","0,00",16,21.3,05:09:53
PECIñA Iñaki,8 / 8,"100,00 %","0,31",8 / 8,"100,00 %","0,31",0 / 0,"0,00 %","0,00",26,8.0,08:19:11
GUIGUES Yohan,8 / 11,"72,73 %","4,00",6 / 8,"75,00 %","3,00",2 / 3,"66,67 %","1,00",2,16.9,00:41:15
BRONZO Umberto,7 / 9,"77,78 %","0,54",7 / 9,"77,78 %","0,54",0 / 0,"0,00 %","0,00",13,15.5,03:12:19
DERISBOURG Lou,7 / 11,"63,64 %","0,41",7 / 11,"63,64 %","0,41",0 / 0,"0,00 %","0,00",17,16.8,02:08:00
DAVYES Wilson,7 / 11,"63,64 %","0,50",7 / 11,"63,64 %","0,50",0 / 0,"0,00 %","0,00",14,14.8,02:57:37
TIGHIOUART Naël,6 / 7,"85,71 %","0,60",6 / 7,"85,71 %","0,60",0 / 0,"0,00 %","0,00",10,11.2,00:25:26
NAGY Kornél,6 / 7,"85,71 %","0,21",6 / 7,"85,71 %","0,21",0 / 0,"0,00 %","0,00",29,-5.0,09:06:36
BONNISSOL Gauthier,6 / 8,"75,00 %","0,86",4 / 5,"80,00 %","0,57",2 / 3,"66,67 %","0,29",7,13.8,00:39:41
LANFRANCHI Axel,6 / 10,"60,00 %","0,46",6 / 10,"60,00 %","0,46",0 / 0,"0,00 %","0,00",13,9.5,03:26:39
ROBERT Jérémy,5 / 6,"83,33 %","0,24",5 / 6,"83,33 %","0,24",0 / 0,"0,00 %","0,00",21,6.0,00:31:58
