,totalbuts,%total,totalbuts / mj,butstirs,%tirs,tirsbuts / mj,butspenalty,%penalty,penaltybuts / mj,mj,Score LNH *,Temps jeu
FOURNIE Léo,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:02:37
VARLET Gallian,0 / 2,"0,00 %","0,00",0 / 2,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,1.0,00:05:05
ARMANI Antoine-xavier,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",19,0.0,00:36:34
BIRKNER Alexandre,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:05:53
GESLAND Enzo,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:05:59
BENTERKI Théo,0 / 2,"0,00 %","0,00",0 / 2,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,1.0,00:31:33
SEMBA Tom,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",4,0.0,00:00:44
NEEL HEUDE Raphaël,0 / 1,"0,00 %","0,00",0 / 1,"0,00 %","0,00",0 / 0,"0,00 %","0,00",4,0.0,00:05:05
DISCAMPS Maxime,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",5,0.0,00:03:00
BONIDAN Thibaut,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,0.0,00:00
BEN SALEM Amine,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",5,0.0,00:05:34
MAKSOVIC Lazar,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,0.0,00:00
DELRIVES Tom,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,0.0,00:00
MILOSAVLJEVIC Marko,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,0.0,00:00
HASSLER Ronan,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,0.0,00:00
GUIRONNET Kenzo,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",7,1.0,00:19:28
MALIKI Amil,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",11,0.0,00:04:45
PELLEN Clément,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:00:08
GOHIER Edgar,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,0.0,00:03:46
LINERE Edynio,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",15,2.0,01:14:23
WENKEGHEU TCHAMBOU Andre,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,0.0,00:00
BOURILLON Edgar,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:00
CAILLE Matéo,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,0.0,00:00
FRATTARUOLO Sasha,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",5,1.0,00:21:13
ENGUELEGUELE Doran,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",4,0.0,00:00
MINY Gabin,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,0.0,00:16:05
SEBIN Mathis,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",1,-2.0,00:00:39
BENJAMIN Mike,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:00
GNAGO Adam,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",9,0.0,00:11:01
BEN FRAJ Koussay,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",4,0.0,00:01:10
ABDEBREIMAN Yanis,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",3,0.0,00:07:28
LEVAVASSEUR Goran,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:00
FIRMESSE Idris,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",9,0.0,00:02:44
ROULLET Lucien,0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",0 / 0,"0,00 %","0,00",2,0.0,00:00
